Cell#,Cascade ID,Switch,NEID,Repoll#,Latitude,Longitude,BTS Manufacturer,Sector,Azimuth,CDR Status,,,,,,,,,,,,,,,
35,NY70XC845,NY-LI_CITY-MSC_2,158,232,40.594528,-73.781683,Lucent,1,330,Active,,,,,,,,,,,,,,,
35,NY70XC845,NY-LI_CITY-MSC_2,158,232,40.594528,-73.781683,Lucent,2,80,Active,,,,,,,,,,,,,,,
35,NY70XC845,NY-LI_CITY-MSC_2,158,232,40.594528,-73.781683,Lucent,3,220,Active,,,,,,,,,,,,,,,
38,NY25XC598,NY-LI_CITY-MSC_2,158,232,40.720277,-73.842777,Lucent,1,0,Active,,,,,,,,,,,,,,,
38,NY25XC598,NY-LI_CITY-MSC_2,158,232,40.720277,-73.842777,Lucent,2,175,Active,,,,,,,,,,,,,,,
38,NY25XC598,NY-LI_CITY-MSC_2,158,232,40.720277,-73.842777,Lucent,3,270,Active,,,,,,,,,,,,,,,
39,NY25XC570,NY-LI_CITY-MSC_2,158,232,40.738889,-73.785277,Lucent,1,340,Active,,,,,,,,,,,,,,,
39,NY25XC570,NY-LI_CITY-MSC_2,158,232,40.738889,-73.785277,Lucent,2,120,Active,,,,,,,,,,,,,,,
39,NY25XC570,NY-LI_CITY-MSC_2,158,232,40.738889,-73.785277,Lucent,3,220,Active,,,,,,,,,,,,,,,
40,NY73XC527,NY-LI_CITY-MSC_2,158,232,40.741777,-73.883611,Lucent,1,20,Active,,,,,,,,,,,,,,,
40,NY73XC527,NY-LI_CITY-MSC_2,158,232,40.741777,-73.883611,Lucent,2,100,Active,,,,,,,,,,,,,,,
40,NY73XC527,NY-LI_CITY-MSC_2,158,232,40.741777,-73.883611,Lucent,3,280,Active,,,,,,,,,,,,,,,
41,NY73XC530,NY-LI_CITY-MSC_2,158,232,40.724999,-73.756527,Lucent,1,35,Active,,,,,,,,,,,,,,,
41,NY73XC530,NY-LI_CITY-MSC_2,158,232,40.724999,-73.756527,Lucent,2,170,Active,,,,,,,,,,,,,,,
41,NY73XC530,NY-LI_CITY-MSC_2,158,232,40.724999,-73.756527,Lucent,3,335,Active,,,,,,,,,,,,,,,
42,NY81XC016,NY-LI_CITY-MSC_2,158,232,40.781944,-73.841139,Lucent,1,350,Active,,,,,,,,,,,,,,,
42,NY81XC016,NY-LI_CITY-MSC_2,158,232,40.781944,-73.841139,Lucent,2,90,Active,,,,,,,,,,,,,,,
42,NY81XC016,NY-LI_CITY-MSC_2,158,232,40.781944,-73.841139,Lucent,3,270,Active,,,,,,,,,,,,,,,
42,NY81XC016,NY-LI_CITY-MSC_2,158,232,40.781944,-73.841139,Lucent,1,50,Active,,,,,,,,,,,,,,,
43,NY25XC599,NY-LI_CITY-MSC_2,158,232,40.728055,-73.810278,Lucent,1,20,Active,,,,,,,,,,,,,,,
43,NY25XC599,NY-LI_CITY-MSC_2,158,232,40.728055,-73.810278,Lucent,2,100,Active,,,,,,,,,,,,,,,
43,NY25XC599,NY-LI_CITY-MSC_2,158,232,40.728055,-73.810278,Lucent,3,220,Active,,,,,,,,,,,,,,,
44,NY05XC528,NY-LI_CITY-MSC_2,158,232,40.67111,-73.896111,Lucent,1,0,Active,,,,,,,,,,,,,,,
44,NY05XC528,NY-LI_CITY-MSC_2,158,232,40.67111,-73.896111,Lucent,2,150,Active,,,,,,,,,,,,,,,
44,NY05XC528,NY-LI_CITY-MSC_2,158,232,40.67111,-73.896111,Lucent,3,240,Active,,,,,,,,,,,,,,,
45,NY25XC581,NY-LI_CITY-MSC_2,158,232,40.672499,-73.874722,Lucent,1,325,Active,,,,,,,,,,,,,,,
45,NY25XC581,NY-LI_CITY-MSC_2,158,232,40.672499,-73.874722,Lucent,2,135,Active,,,,,,,,,,,,,,,
45,NY25XC581,NY-LI_CITY-MSC_2,158,232,40.672499,-73.874722,Lucent,3,240,Active,,,,,,,,,,,,,,,
46,NY60XC282,NY-LI_CITY-MSC_2,158,232,40.67861,-73.718888,Lucent,1,90,Active,,,,,,,,,,,,,,,
46,NY60XC282,NY-LI_CITY-MSC_2,158,232,40.67861,-73.718888,Lucent,2,210,Active,,,,,,,,,,,,,,,
46,NY60XC282,NY-LI_CITY-MSC_2,158,232,40.67861,-73.718888,Lucent,3,330,Active,,,,,,,,,,,,,,,
47,NY25XC677,NY-LI_CITY-MSC_2,158,232,40.713056,-73.816389,Lucent,1,10,Active,,,,,,,,,,,,,,,
47,NY25XC677,NY-LI_CITY-MSC_2,158,232,40.713056,-73.816389,Lucent,2,90,Active,,,,,,,,,,,,,,,
47,NY25XC677,NY-LI_CITY-MSC_2,158,232,40.713056,-73.816389,Lucent,3,220,Active,,,,,,,,,,,,,,,
48,NY73XC547,NY-LI_CITY-MSC_2,158,232,40.733611,-73.815361,Lucent,1,10,Active,,,,,,,,,,,,,,,
48,NY73XC547,NY-LI_CITY-MSC_2,158,232,40.733611,-73.815361,Lucent,2,170,Active,,,,,,,,,,,,,,,
48,NY73XC547,NY-LI_CITY-MSC_2,158,232,40.733611,-73.815361,Lucent,3,275,Active,,,,,,,,,,,,,,,
49,NY73XC568,NY-LI_CITY-MSC_2,158,232,40.674813,-73.755365,Lucent,1,20,Active,,,,,,,,,,,,,,,
49,NY73XC568,NY-LI_CITY-MSC_2,158,232,40.674813,-73.755365,Lucent,2,140,Active,,,,,,,,,,,,,,,
49,NY73XC568,NY-LI_CITY-MSC_2,158,232,40.674813,-73.755365,Lucent,3,260,Active,,,,,,,,,,,,,,,
50,NY25XC676,NY-LI_CITY-MSC_2,158,232,40.724722,-73.871666,Lucent,1,80,Active,,,,,,,,,,,,,,,
50,NY25XC676,NY-LI_CITY-MSC_2,158,232,40.724722,-73.871666,Lucent,2,200,Active,,,,,,,,,,,,,,,
50,NY25XC676,NY-LI_CITY-MSC_2,158,232,40.724722,-73.871666,Lucent,3,300,Active,,,,,,,,,,,,,,,
51,NY05XC612,NY-LI_CITY-MSC_2,158,232,40.678888,-73.805833,Lucent,1,340,Active,,,,,,,,,,,,,,,
51,NY05XC612,NY-LI_CITY-MSC_2,158,232,40.678888,-73.805833,Lucent,2,150,Active,,,,,,,,,,,,,,,
51,NY05XC612,NY-LI_CITY-MSC_2,158,232,40.678888,-73.805833,Lucent,3,220,Active,,,,,,,,,,,,,,,
52,NY15XC660,NY-LI_CITY-MSC_2,158,232,40.744166,-73.775833,Lucent,1,340,Active,,,,,,,,,,,,,,,
52,NY15XC660,NY-LI_CITY-MSC_2,158,232,40.744166,-73.775833,Lucent,2,120,Active,,,,,,,,,,,,,,,
52,NY15XC660,NY-LI_CITY-MSC_2,158,232,40.744166,-73.775833,Lucent,3,220,Active,,,,,,,,,,,,,,,
53,NY05XC614,NY-LI_CITY-MSC_2,158,232,40.7075,-73.872777,Lucent,1,355,Active,,,,,,,,,,,,,,,
53,NY05XC614,NY-LI_CITY-MSC_2,158,232,40.7075,-73.872777,Lucent,2,110,Active,,,,,,,,,,,,,,,
53,NY05XC614,NY-LI_CITY-MSC_2,158,232,40.7075,-73.872777,Lucent,3,235,Active,,,,,,,,,,,,,,,
54,NY05XC615,NY-LI_CITY-MSC_2,158,232,40.601667,-73.757778,Lucent,1,20,Active,,,,,,,,,,,,,,,
54,NY05XC615,NY-LI_CITY-MSC_2,158,232,40.601667,-73.757778,Lucent,2,140,Active,,,,,,,,,,,,,,,
54,NY05XC615,NY-LI_CITY-MSC_2,158,232,40.601667,-73.757778,Lucent,3,260,Active,,,,,,,,,,,,,,,
58,NY73XC682,NY-LI_CITY-MSC_2,158,232,40.67931,-73.868744,Lucent,1,0,Active,,,,,,,,,,,,,,,
58,NY73XC682,NY-LI_CITY-MSC_2,158,232,40.67931,-73.868744,Lucent,2,120,Active,,,,,,,,,,,,,,,
58,NY73XC682,NY-LI_CITY-MSC_2,158,232,40.67931,-73.868744,Lucent,3,240,Active,,,,,,,,,,,,,,,
59,NY73XC702,NY-LI_CITY-MSC_2,158,232,40.609837,-73.744694,Lucent,1,0,Active,,,,,,,,,,,,,,,
59,NY73XC702,NY-LI_CITY-MSC_2,158,232,40.609837,-73.744694,Lucent,2,140,Active,,,,,,,,,,,,,,,
59,NY73XC702,NY-LI_CITY-MSC_2,158,232,40.609837,-73.744694,Lucent,3,240,Active,,,,,,,,,,,,,,,
60,NY05XC610,NY-LI_CITY-MSC_2,158,232,40.783889,-73.778333,Lucent,1,355,Active,,,,,,,,,,,,,,,
60,NY05XC610,NY-LI_CITY-MSC_2,158,232,40.783889,-73.778333,Lucent,2,140,Active,,,,,,,,,,,,,,,
60,NY05XC610,NY-LI_CITY-MSC_2,158,232,40.783889,-73.778333,Lucent,3,260,Active,,,,,,,,,,,,,,,
61,NY25XC644,NY-LI_CITY-MSC_2,158,232,40.723511,-73.838939,Lucent,1,0,Active,,,,,,,,,,,,,,,
61,NY25XC644,NY-LI_CITY-MSC_2,158,232,40.723511,-73.838939,Lucent,2,120,Active,,,,,,,,,,,,,,,
61,NY25XC644,NY-LI_CITY-MSC_2,158,232,40.723511,-73.838939,Lucent,3,240,Active,,,,,,,,,,,,,,,
62,NY05XC608,NY-LI_CITY-MSC_2,158,232,40.725199,-73.8521,Lucent,1,355,Active,,,,,,,,,,,,,,,
62,NY05XC608,NY-LI_CITY-MSC_2,158,232,40.725199,-73.8521,Lucent,2,115,Active,,,,,,,,,,,,,,,
62,NY05XC608,NY-LI_CITY-MSC_2,158,232,40.725199,-73.8521,Lucent,3,240,Active,,,,,,,,,,,,,,,
63,NY05XC607,NY-LI_CITY-MSC_2,158,232,40.7875,-73.81,Lucent,1,40,Active,,,,,,,,,,,,,,,
63,NY05XC607,NY-LI_CITY-MSC_2,158,232,40.7875,-73.81,Lucent,2,130,Active,,,,,,,,,,,,,,,
63,NY05XC607,NY-LI_CITY-MSC_2,158,232,40.7875,-73.81,Lucent,3,280,Active,,,,,,,,,,,,,,,
64,NY05XC620,NY-LI_CITY-MSC_2,158,232,40.691389,-73.851944,Lucent,1,10,Active,,,,,,,,,,,,,,,
64,NY05XC620,NY-LI_CITY-MSC_2,158,232,40.691389,-73.851944,Lucent,2,125,Active,,,,,,,,,,,,,,,
64,NY05XC620,NY-LI_CITY-MSC_2,158,232,40.691389,-73.851944,Lucent,3,245,Active,,,,,,,,,,,,,,,
65,NY15XC666,NY-LI_CITY-MSC_2,158,232,40.759722,-73.860556,Lucent,1,330,Active,,,,,,,,,,,,,,,
65,NY15XC666,NY-LI_CITY-MSC_2,158,232,40.759722,-73.860556,Lucent,2,145,Active,,,,,,,,,,,,,,,
65,NY15XC666,NY-LI_CITY-MSC_2,158,232,40.759722,-73.860556,Lucent,3,230,Active,,,,,,,,,,,,,,,
66,NY05XC621,NY-LI_CITY-MSC_2,158,232,40.668275,-73.838724,Lucent,1,5,Active,,,,,,,,,,,,,,,
66,NY05XC621,NY-LI_CITY-MSC_2,158,232,40.668275,-73.838724,Lucent,2,160,Active,,,,,,,,,,,,,,,
66,NY05XC621,NY-LI_CITY-MSC_2,158,232,40.668275,-73.838724,Lucent,3,240,Active,,,,,,,,,,,,,,,
67,NY05XC603,NY-LI_CITY-MSC_2,158,232,40.7625,-73.800833,Lucent,1,20,Active,,,,,,,,,,,,,,,
67,NY05XC603,NY-LI_CITY-MSC_2,158,232,40.7625,-73.800833,Lucent,2,135,Active,,,,,,,,,,,,,,,
67,NY05XC603,NY-LI_CITY-MSC_2,158,232,40.7625,-73.800833,Lucent,3,230,Active,,,,,,,,,,,,,,,
68,NY05XC609,NY-LI_CITY-MSC_2,158,232,40.761667,-73.759444,Lucent,1,0,Active,,,,,,,,,,,,,,,
68,NY05XC609,NY-LI_CITY-MSC_2,158,232,40.761667,-73.759444,Lucent,2,120,Active,,,,,,,,,,,,,,,
68,NY05XC609,NY-LI_CITY-MSC_2,158,232,40.761667,-73.759444,Lucent,3,240,Active,,,,,,,,,,,,,,,
69,NY34XC805,NY-LI_CITY-MSC_2,158,232,40.645,-73.785833,Lucent,1,0,Nonactive,,,,,,,,,,,,,,,
69,NY34XC805,NY-LI_CITY-MSC_2,158,232,40.645,-73.785833,Lucent,2,120,Nonactive,,,,,,,,,,,,,,,
69,NY34XC805,NY-LI_CITY-MSC_2,158,232,40.645,-73.785833,Lucent,3,240,Nonactive,,,,,,,,,,,,,,,
70,NY05XC606,NY-LI_CITY-MSC_2,158,232,40.669444,-73.751389,Lucent,1,0,Active,,,,,,,,,,,,,,,
70,NY05XC606,NY-LI_CITY-MSC_2,158,232,40.669444,-73.751389,Lucent,2,130,Active,,,,,,,,,,,,,,,
